DATA_ID,ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TIMESTAMP,ISO3
7767296,32,ARG7124,7124,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Argentina),Health Workers (Argentina); ATSA: Association of Health Workers,6,,,0,60,South America,Argentina,Rio Negro,Bariloche,,San Carlos de Bariloche,-41.1335,-71.3103,1,El Cordillerano,Subnational,"On 26 March 2021, in San Carlos de Bariloche (Rio Negro), the Association of Health Workers (ATSA) led a protest in solidarity with workers of the San Carlos Sanatorium and the Regional Private Hospital demanding a salary readjustment of 16%. [size=no report]",0,1617033264,ARG
7767808,887,YEM63695,63695,26-Mar-21,2021,1,Battles,Armed clash,Military Forces of Yemen (2012-),,1,Military Forces of Yemen (2016-) Supreme Political Council,,1,11,Middle East,Yemen,Marib,Sirwah,,Al Kasarah,15.5381,45.1357,2,Al Masdar; Nukhba Hadramawt,National,"On 26 March 2021, pro-Hadi and Houthi forces clashed northwest of Marib City in the Al Jawf governorate, coded at Kasarah front (Sirwah, Marib), resulting in the death of the commander for the Sixth Military Region in the pro-Hadi army. It is unclear if there were other fatalities.",1,1617039259,YEM
7768064,222,SLV2499,2499,26-Mar-21,2021,1,Battles,Armed clash,MS-13: Mara Salvatrucha,,3,Police Forces of El Salvador (2019-),,1,13,Central America,El Salvador,Cuscatlan,San Rafael Cedros,,San Rafael Cedros,13.7333,-88.8833,2,El Salvador.com,National,"On 26 March 2021, in San Rafael Cedros municipality, Cuscatlan, there was an armed clash in the Cerro Colorado canton. According to reports, gang members ambushed police officers, who retaliated. Two bystanders were injured in the crossfire between gang members and police officers. One alleged head of MS-13 was shot and killed. 2 injured, 1 fatality.",1,1617047503,SLV
7787008,642,ROU1529,1529,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Romania),Labour Group (Romania),6,,,0,60,Europe,Romania,Mures,Targu Mures,,Targu Mures,46.55,24.5667,1,Adevarul,National,"On 26 March 2021, cultural workers and artists protested in Targu Mures, demanding government support for their sector. [size=no report]",0,1617121993,ROM
7788032,756,CHE198,198,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Switzerland),,6,,,0,60,Europe,Switzerland,Vaud,Lausanne,,Lausanne,46.5197,6.6323,1,24 Heures,National,"On 26 March 2021, about 1,500 people, among them environmental activists, marched through the streets of Lausanne (Lausanne, Vaud) to express their solidarity with the occupation of the Mormont hill by ZAD environmental activists and denounce the announced project to extend the cement quarry located in the area. Protesters also demand greater environmental efforts from public authorities. [size=about 1500]",0,1617132585,CHE
7788288,380,ITA7474,7474,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Italy),Labour Group (Italy),6,,,0,60,Europe,Italy,Veneto,Vicenza,,Torri di Quartesolo,45.5232,11.6085,1,Global Project,National,"On 26 March 2021, people working in the logistics sector gathered outside the DHL warehouse in Torri di Quartesolo (Vicenza, Veneto) to demonstrate against their working conditions. They demanded a higher salary and a safer health protocol. [size=no report]",0,1617132586,ITA
7788544,380,ITA7454,7454,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Italy),Labour Group (Italy),6,,,0,60,Europe,Italy,Campania,Napoli,,Napoli,40.8537,14.2429,1,Napoli Today,National,"On 26 March 2021, amusement park, circus and fair operators gathered in Plebiscito square in Napoli (Napoli, Campania) to protest against coronavirus restrictions to their sector, demand greater relief measures from public authorities and to be allowed to resume their work. The event was part of a national day of protest called by the sector's workers. [size=no report]",0,1617132586,ITA
7789056,356,IND91705,91705,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (India),RJD: Rashtriya Janata Dal; JAP: Jan Adhikar Party; INC: Indian National Congress; Farmers (India); SKM: United Farmers Front,6,,,0,60,South Asia,India,Bihar,Bhagalpur,Bhagalpur,Bhagalpur,25.2427,86.9856,2,Hindustan Times,National,"On 26 March 2021, protesters blocked roads and railway stations, in Bhagalpur district (Bihar), as a part of a 'Bharat Bandh' (nationwide strike) called by the SKM in protest against centrally passed farm laws. The call for the bandh in Bihar was called by opposition parties, including the RJD, Congress, Left and JAP, in protest against recent clashes between MLAs and police forces in addition to the farm laws. [size=no report]",0,1617139438,IND
7767809,887,YEM63696,63696,26-Mar-21,2021,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,,,0,80,Middle East,Yemen,Marib,Sirwah,,Suq Sirwah,15.4493,45.0189,2,Al Masirah; Yemen Data Project,Local partner-National,"On 26 March 2021, the Saudi-led coalition conducted 12 airstrikes in Sirwah district (Marib) and Medghal district (Marib). No report of fatalities or injuries.",0,1617039259,YEM
7787009,642,ROU1530,1530,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Romania),Labour Group (Romania),6,,,0,60,Europe,Romania,Timis,Timisoara,,Timisoara,45.7494,21.2272,1,Adevarul,National,"On 26 March 2021, cultural workers and artists protested in Timisoara, demanding government support for their sector. [size=no report]",0,1617121993,ROM
7788545,380,ITA7455,7455,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Italy),Labour Group (Italy),6,,,0,60,Europe,Italy,Campania,Napoli,,Napoli,40.8537,14.2429,1,Napoli Today,National,"On 26 March 2021, various wedding industry operators staged a series of performances in the center of Napoli (Napoli, Campania) to protest against the ongoing shutdown of their activities due to the coronavirus emergency and demand a clear timeline and greater help measures from authorities. [size=no report]",0,1617132586,ITA
7789057,356,IND91792,91792,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (India),Farmers (India); SKM: United Farmers Front,6,,,0,60,South Asia,India,Punjab,Pathankot,Pathankot,Pathankot,32.2748,75.6528,1,Hindustan Times,National,"On 26 March 2021, farmers supported by SKM, staged protests, at Chakki bridge in Pathankot city (Pathankot district, Punjab), marking 'Bharat Bandh' against the farm laws. [size=no report]",0,1617139438,IND
7790081,840,USA27077,27077,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (United States),Students (United States),6,,,0,60,North America,United States,Massachusetts,Norfolk,,Brookline,42.3318,-71.1212,1,Wicked Local,Subnational,"On 26 March 2021, nearly 200 students and people organized by Brookline High School's Asian Pacific American Club demonstrated outside of Brookline High School in Brookline (Massachusetts) against hate and racism and in solidarity with those protesting in Atlanta, Georgia over the deaths of 8 individuals, mostly Asian American women, killed by an individual targeting massage parlors. [size=nearly 200]",0,1617140133,USA
7767810,887,YEM63697,63697,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Yemen),Houthi Movement - Ansar Allah,6,,,0,60,Middle East,Yemen,Raymah,Al Jabin,,Al Jabin,14.704,43.599,3,Yemen Data Project; Yemen Press Agency,Local partner-National,"On 26 March 2021, Houthi supporters rallied in Raymah governorate to mark the sixth anniversary of the war. Participants in the march raised banners denouncing the continuing crimes of the Saudi-led coalition. [size=no report]",0,1617039259,YEM
7789058,356,IND91708,91708,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (India),RJD: Rashtriya Janata Dal; JAP: Jan Adhikar Party; INC: Indian National Congress; Farmers (India); SKM: United Farmers Front,6,,,0,60,South Asia,India,Bihar,Bhojpur,Arrah,Bhojpur,25.3088,84.445,2,Hindustan Times,National,"On 26 March 2021, protesters blocked roads and railway stations, in Bhojpur district (Bihar), as a part of a 'Bharat Bandh' (nationwide strike) called by the SKM in protest against centrally passed farm laws. The call for the bandh in Bihar was called by opposition parties, including the RJD, Congress, Left and JAP, in protest against recent clashes between MLAs and police forces in addition to the farm laws. [size=no report]",0,1617139438,IND
7767299,68,BOL1991,1991,26-Mar-21,2021,1,Protests,Peaceful protest,Protesters (Bolivia),Labour Group (Bolivia),6,,,0,60,South America,Bolivia,Santa Cruz,Obispo Santistevan,General Saavedra,General Saavedra,-17.2251,-63.2143,1,El Deber,National,"On 26 March 2021, in General Saavedra, Santa Cruz, a group of citizens and motorcycle cab drivers blocked a highway to demand police authorities to clarify the killing of a motorcycle cab driver in a robbery. They complained about the lack of security in their sector. [size=no report]",0,1617033264,BOL
